2021,2022,2023,2024
2272,22820,141132,22400                                                                             
4269,3626546,58173,26987
6142,2583980,57799,2737
7907,128300,42136,
10223,2866912,31944,
11274,719742,25546, 
11655,746314,20964,
12713,739498,22056,
13954,529892,18561,
15473,237056,6402,
18875,116975,63867,
21261,81661,64381, 
